| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064549| 0000000064547| 0000000001496| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064532| 0000000002685| Fri Jan  7 22:00:02 2022
| 0000000064532| 0000000064542| 0000000000652| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064541| 0000000000265| Fri Jan  7 22:00:02 2022
| 0000000064522| -000000000001| 0000000000131| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064547| 0000000064546| 0000000002692| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064540| 0000000002903| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064533| 0000000001300| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064537| 0000000002585| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064537| 0000000002372| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064531| 0000000004776| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064543| 0000000001090| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064549| 0000000002843| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064546| 0000000001933| Fri Jan  7 22:00:02 2022
| 0000000064526| -000000000001| 0000000000224| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064542| 0000000064544| 0000000000845| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064537| 0000000003214| Fri Jan  7 22:00:02 2022
| 0000000064540| 0000000064535| 0000000001834| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064538| 0000000002015| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064545| 0000000002906| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064535| 0000000000122| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064541| 0000000000269| Fri Jan  7 22:00:02 2022
| 0000000064542| 0000000064537| 0000000000859| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064531| 0000000002169| Fri Jan  7 22:00:02 2022
| 0000000064529| -000000000001| 0000000000139| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064544| 0000000064536| 0000000004740| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064544| 0000000002234| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064542| 0000000001240| Fri Jan  7 22:00:02 2022
| 0000000064544| 0000000064543| 0000000000206| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064546| 0000000002117| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064532| 0000000001362| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064549| 0000000001197| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064543| 0000000000194| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064532| 0000000004233| Fri Jan  7 22:00:02 2022
| 0000000064521| -000000000001| 0000000000172| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064542| 0000000064538| 0000000001788| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064535| 0000000004293| Fri Jan  7 22:00:02 2022
| 0000000064540| 0000000064545| 0000000000953| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064550| 0000000000833| Fri Jan  7 22:00:02 2022
| 0000000064549| 0000000064540| 0000000003623| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064533| 0000000001910| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064533| 0000000002258| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064532| 0000000000460| Fri Jan  7 22:00:02 2022
| 0000000064543| 0000000064532| 0000000000842| Fri Jan  7 22:00:02 2022
| 0000000064525| -000000000001| 0000000000167| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064534| 0000000064547| 0000000005699| Fri Jan  7 22:00:02 2022
