| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005024| 0000000005016| 0000000000723| Tue Jan  4 21:31:51 2022
| 0000000005289| 0000000005032| 0000000000261| Tue Jan  4 21:31:51 2022
| 0000000005179| 0000000004781| 0000000000408| Tue Jan  4 21:31:51 2022
| 0000000004993| 0000000005140| 0000000000836| Tue Jan  4 21:31:51 2022
| 0000000005519| 0000000005001| 0000000000028| Tue Jan  4 21:31:51 2022
| 0000000005585| 0000000005073| 0000000000290| Tue Jan  4 21:31:51 2022
| 0000000004858| 0000000004801| 0000000000525| Tue Jan  4 21:31:51 2022
| 0000000004759| -000000000001| 0000000000385| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000004896| 0000000005155| 0000000000308| Tue Jan  4 21:31:51 2022
| 0000000005350| 0000000005161| 0000000000567| Tue Jan  4 21:31:51 2022
| 0000000005575| 0000000004987| 0000000000621| Tue Jan  4 21:31:51 2022
| 0000000005651| 0000000005164| 0000000000148| Tue Jan  4 21:31:51 2022
| 0000000005569| 0000000005059| 0000000000653| Tue Jan  4 21:31:51 2022
| 0000000005729| 0000000005184| 0000000000900| Tue Jan  4 21:31:51 2022
| 0000000005608| 0000000005186| 0000000000377| Tue Jan  4 21:31:51 2022
| 0000000004782| 0000000004799| 0000000000212| Tue Jan  4 21:31:51 2022
| 0000000005460| 0000000005039| 0000000000590| Tue Jan  4 21:31:51 2022
| 0000000004758| -000000000001| 0000000000480| Tue Jan  4 21:31:51 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005437| 0000000005545| 0000000000653| Tue Jan  4 21:31:51 2022
| 0000000005304| 0000000005179| 0000000000848| Tue Jan  4 21:31:51 2022
| 0000000005532| 0000000005193| 0000000000805| Tue Jan  4 21:31:51 2022
| 0000000005261| 0000000005615| 0000000000658| Tue Jan  4 21:31:51 2022
| 0000000005576| 0000000005108| 0000000000228| Tue Jan  4 21:31:51 2022
| 0000000005524| 0000000005117| 0000000000881| Tue Jan  4 21:31:51 2022
| 0000000005090| 0000000004780| 0000000000545| Tue Jan  4 21:31:51 2022
| 0000000005088| 0000000005018| 0000000000164| Tue Jan  4 21:31:51 2022
