| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005455| 0000000005422| 0000000000383| Sun Jan  9 11:04:11 2022
| 0000000005452| 0000000005464| 0000000000461| Sun Jan  9 11:04:11 2022
| 0000000005403| 0000000005497| 0000000000275| Sun Jan  9 11:04:11 2022
| 0000000005484| 0000000005499| 0000000000188| Sun Jan  9 11:04:11 2022
| 0000000005463| 0000000005406| 0000000000037| Sun Jan  9 11:04:11 2022
| 0000000005424| 0000000005407| 0000000000494| Sun Jan  9 11:04:11 2022
| 0000000005436| 0000000005432| 0000000000431| Sun Jan  9 11:04:11 2022
| 0000000005495| 0000000005463| 0000000000319| Sun Jan  9 11:04:11 2022
| 0000000005394| -000000000001| 0000000000025| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005426| 0000000005413| 0000000000213| Sun Jan  9 11:04:11 2022
| 0000000005433| 0000000005468| 0000000000003| Sun Jan  9 11:04:11 2022
| 0000000005464| 0000000005421| 0000000000322| Sun Jan  9 11:04:11 2022
| 0000000005472| 0000000005430| 0000000000465| Sun Jan  9 11:04:11 2022
| 0000000005410| 0000000005457| 0000000000176| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005418| 0000000000280| Sun Jan  9 11:04:11 2022
| 0000000005438| 0000000005452| 0000000000479| Sun Jan  9 11:04:11 2022
| 0000000005471| 0000000005437| 0000000000168| Sun Jan  9 11:04:11 2022
| 0000000005421| 0000000005486| 0000000000574| Sun Jan  9 11:04:11 2022
| 0000000005395| -000000000001| 0000000000023| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005472| 0000000005431| 0000000000283| Sun Jan  9 11:04:11 2022
| 0000000005408| 0000000005454| 0000000000309| Sun Jan  9 11:04:11 2022
| 0000000005479| 0000000005408| 0000000000037| Sun Jan  9 11:04:11 2022
| 0000000005495| 0000000005490| 0000000000230| Sun Jan  9 11:04:11 2022
| 0000000005498| 0000000005486| 0000000000005| Sun Jan  9 11:04:11 2022
| 0000000005457| 0000000005502| 0000000000083| Sun Jan  9 11:04:11 2022
| 0000000005466| 0000000005443| 0000000000101| Sun Jan  9 11:04:11 2022
| 0000000005485| 0000000005478| 0000000000183| Sun Jan  9 11:04:11 2022
| 0000000005477| 0000000005471| 0000000000335| Sun Jan  9 11:04:11 2022
| 0000000005397| -000000000001| 0000000000015| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005473| 0000000005445| 0000000000426| Sun Jan  9 11:04:11 2022
| 0000000005493| 0000000005453| 0000000000285| Sun Jan  9 11:04:11 2022
| 0000000005407| 0000000005494| 0000000000216| Sun Jan  9 11:04:11 2022
| 0000000005443| 0000000005466| 0000000000570| Sun Jan  9 11:04:11 2022
| 0000000005465| 0000000005456| 0000000000382| Sun Jan  9 11:04:11 2022
| 0000000005499| 0000000005425| 0000000000180| Sun Jan  9 11:04:11 2022
| 0000000005404| 0000000005484| 0000000000540| Sun Jan  9 11:04:11 2022
| 0000000005413| 0000000005487| 0000000000212| Sun Jan  9 11:04:11 2022
| 0000000005472| 0000000005410| 0000000000131| Sun Jan  9 11:04:11 2022
| 0000000005399| -000000000001| 0000000000025| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005444| 0000000005428| 0000000000348| Sun Jan  9 11:04:11 2022
| 0000000005499| 0000000005426| 0000000000226| Sun Jan  9 11:04:11 2022
| 0000000005442| 0000000005427| 0000000000497| Sun Jan  9 11:04:11 2022
| 0000000005459| 0000000005405| 0000000000025| Sun Jan  9 11:04:11 2022
| 0000000005413| 0000000005422| 0000000000297| Sun Jan  9 11:04:11 2022
| 0000000005455| 0000000005475| 0000000000213| Sun Jan  9 11:04:11 2022
| 0000000005431| 0000000005430| 0000000000297| Sun Jan  9 11:04:11 2022
| 0000000005493| 0000000005415| 0000000000166| Sun Jan  9 11:04:11 2022
| 0000000005467| 0000000005429| 0000000000166| Sun Jan  9 11:04:11 2022
| 0000000005393| -000000000001| 0000000000021| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005451| 0000000005480| 0000000000416| Sun Jan  9 11:04:11 2022
| 0000000005477| 0000000005476| 0000000000298| Sun Jan  9 11:04:11 2022
| 0000000005485| 0000000005477| 0000000000755| Sun Jan  9 11:04:11 2022
| 0000000005483| 0000000005423| 0000000000840| Sun Jan  9 11:04:11 2022
| 0000000005499| 0000000005432| 0000000000137| Sun Jan  9 11:04:11 2022
| 0000000005469| 0000000005451| 0000000000382| Sun Jan  9 11:04:11 2022
| 0000000005428| 0000000005439| 0000000000294| Sun Jan  9 11:04:11 2022
| 0000000005417| 0000000005485| 0000000000205| Sun Jan  9 11:04:11 2022
| 0000000005450| 0000000005495| 0000000000921| Sun Jan  9 11:04:11 2022
| 0000000005398| -000000000001| 0000000000039| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005467| 0000000005424| 0000000000398| Sun Jan  9 11:04:11 2022
| 0000000005441| 0000000005482| 0000000000548| Sun Jan  9 11:04:11 2022
| 0000000005425| 0000000005447| 0000000000260| Sun Jan  9 11:04:11 2022
| 0000000005448| 0000000005491| 0000000000335| Sun Jan  9 11:04:11 2022
| 0000000005415| 0000000005444| 0000000000297| Sun Jan  9 11:04:11 2022
| 0000000005461| 0000000005467| 0000000000179| Sun Jan  9 11:04:11 2022
| 0000000005501| 0000000005492| 0000000000433| Sun Jan  9 11:04:11 2022
| 0000000005418| 0000000005438| 0000000000318| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005461| 0000000000187| Sun Jan  9 11:04:11 2022
| 0000000005402| -000000000001| 0000000000026| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005470| 0000000005409| 0000000000441| Sun Jan  9 11:04:11 2022
| 0000000005406| 0000000005483| 0000000000390| Sun Jan  9 11:04:11 2022
| 0000000005487| 0000000005448| 0000000000216| Sun Jan  9 11:04:11 2022
