| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046185| 0000000046191| 0000000000007| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046186| 0000000000064| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046182| 0000000000094| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046190| 0000000000359| Tue Jan  4 23:14:13 2022
| 0000000046186| 0000000046192| 0000000000042| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046184| 0000000000019| Tue Jan  4 23:14:13 2022
| 0000000046178| -000000000001| 0000000000091| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046193| 0000000046186| 0000000000037| Tue Jan  4 23:14:13 2022
| 0000000046190| 0000000046201| 0000000000145| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046182| 0000000000229| Tue Jan  4 23:14:13 2022
| 0000000046199| 0000000046193| 0000000000045| Tue Jan  4 23:14:13 2022
| 0000000046195| 0000000046189| 0000000000165| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046189| 0000000000139| Tue Jan  4 23:14:13 2022
| 0000000046192| 0000000046199| 0000000000081| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046196| 0000000000106| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046193| 0000000000036| Tue Jan  4 23:14:13 2022
| 0000000046174| -000000000001| 0000000000106| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046200| 0000000046182| 0000000000216| Tue Jan  4 23:14:13 2022
| 0000000046201| 0000000046194| 0000000000999| Tue Jan  4 23:14:13 2022
| 0000000046194| 0000000046197| 0000000000073| Tue Jan  4 23:14:13 2022
| 0000000046196| 0000000046199| 0000000000082| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046183| 0000000000358| Tue Jan  4 23:14:13 2022
| 0000000046198| 0000000046194| 0000000000211| Tue Jan  4 23:14:13 2022
| 0000000046197| 0000000046185| 0000000000472| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046195| 0000000000016| Tue Jan  4 23:14:13 2022
| 0000000046192| 0000000046199| 0000000000001| Tue Jan  4 23:14:13 2022
| 0000000046175| -000000000001| 0000000000268| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046196| 0000000046194| 0000000001039| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046183| 0000000000117| Tue Jan  4 23:14:13 2022
| 0000000046185| 0000000046191| 0000000000290| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046198| 0000000000080| Tue Jan  4 23:14:13 2022
| 0000000046193| 0000000046185| 0000000000471| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046198| 0000000000243| Tue Jan  4 23:14:13 2022
| 0000000046196| 0000000046182| 0000000000609| Tue Jan  4 23:14:13 2022
| 0000000046189| 0000000046183| 0000000000084| Tue Jan  4 23:14:13 2022
| 0000000046199| 0000000046193| 0000000000027| Tue Jan  4 23:14:13 2022
| 0000000046177| -000000000001| 0000000000324| Tue Jan  4 23:14:13 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000046186| 0000000046201| 0000000001107| Tue Jan  4 23:14:13 2022
| 0000000046199| 0000000046187| 0000000000137| Tue Jan  4 23:14:13 2022
| 0000000046186| 0000000046192| 0000000000234| Tue Jan  4 23:14:13 2022
| 0000000046184| 0000000046190| 0000000000953| Tue Jan  4 23:14:13 2022
| 0000000046182| 0000000046188| 0000000000558| Tue Jan  4 23:14:13 2022
