| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023231| 0000000023178| 0000000000451| Mon Jan 24 19:04:56 2022
| 0000000023155| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023164| 0000000023245| 0000000000177| Mon Jan 24 19:04:56 2022
| 0000000023261| 0000000023262| 0000000000254| Mon Jan 24 19:04:56 2022
| 0000000023174| 0000000023213| 0000000000088| Mon Jan 24 19:04:56 2022
| 0000000023251| 0000000023235| 0000000000309| Mon Jan 24 19:04:56 2022
| 0000000023156| -000000000001| 0000000000007| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023217| 0000000023209| 0000000000412| Mon Jan 24 19:04:56 2022
| 0000000023171| 0000000023220| 0000000000811| Mon Jan 24 19:04:56 2022
| 0000000023172| 0000000023233| 0000000000282| Mon Jan 24 19:04:56 2022
| 0000000023200| 0000000023201| 0000000000297| Mon Jan 24 19:04:56 2022
| 0000000023159| -000000000001| 0000000000016| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023256| 0000000023225| 0000000000348| Mon Jan 24 19:04:56 2022
| 0000000023168| 0000000023224| 0000000000215| Mon Jan 24 19:04:56 2022
| 0000000023213| 0000000023217| 0000000000061| Mon Jan 24 19:04:56 2022
| 0000000023233| 0000000023189| 0000000000216| Mon Jan 24 19:04:56 2022
| 0000000023161| -000000000001| 0000000000008| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023198| 0000000023165| 0000000000131| Mon Jan 24 19:04:56 2022
| 0000000023230| 0000000023178| 0000000000210| Mon Jan 24 19:04:56 2022
| 0000000023182| 0000000023226| 0000000000505| Mon Jan 24 19:04:56 2022
| 0000000023229| 0000000023164| 0000000000248| Mon Jan 24 19:04:56 2022
| 0000000023155| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023246| 0000000023228| 0000000000395| Mon Jan 24 19:04:56 2022
| 0000000023183| 0000000023255| 0000000000606| Mon Jan 24 19:04:56 2022
| 0000000023232| 0000000023166| 0000000000107| Mon Jan 24 19:04:56 2022
| 0000000023197| 0000000023181| 0000000000546| Mon Jan 24 19:04:56 2022
| 0000000023160| -000000000001| 0000000000015| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023198| 0000000023227| 0000000000498| Mon Jan 24 19:04:56 2022
| 0000000023236| 0000000023176| 0000000000172| Mon Jan 24 19:04:56 2022
| 0000000023205| 0000000023244| 0000000000422| Mon Jan 24 19:04:56 2022
| 0000000023188| 0000000023242| 0000000000128| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023252| 0000000023195| 0000000000044| Mon Jan 24 19:04:56 2022
| 0000000023243| 0000000023218| 0000000000254| Mon Jan 24 19:04:56 2022
| 0000000023216| 0000000023252| 0000000000262| Mon Jan 24 19:04:56 2022
| 0000000023248| 0000000023236| 0000000000148| Mon Jan 24 19:04:56 2022
| 0000000023162| -000000000001| 0000000000006| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023242| 0000000023247| 0000000000485| Mon Jan 24 19:04:56 2022
| 0000000023208| 0000000023260| 0000000000539| Mon Jan 24 19:04:56 2022
